Data,Microservizio,Messaggio

29-09-2025 16-49-05,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 16-58-18,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 17-02-20,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 17-17-18,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 17-28-00,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 17-38-26,MODEL_REGISTRY,MODEL_REGISTRY machine has failed delta seconds check!
29-09-2025 17-45-54,RETRAIN_DECISIONER,Test warning
29-09-2025 17-49-36,RETRAIN_DECISIONER,Test warning
30-09-2025 16-39-57,MLOPS_ORCHESTRATOR,Monitoring Flow - Model ID [17] | Performances are worse. Retrain Warnings n. 3
30-09-2025 16-41-54,MLOPS_ORCHESTRATOR,Monitoring Flow - Model ID [17] | Performances are worse. Retrain Warnings n. 3
